video,text
1,hi everyone my name is Justin I'm a
1,postdoc at the Joslin Diabetes Center in
1,Harvard Medical School this channel is
1,called grad school advice it's designed
1,for students that are gonna be starting
1,grad school that are in grad school or
1,that are looking for a postdoc or even
1,just start of their postdoc and I'm
1,gonna be trying to give you as much
1,advice as I can about how to be a
1,successful grad student and to find that
1,really top-level postdoc position so I
1,hope you subscribe like any of the
1,videos that you find interesting and
1,yeah I'll catch you in the next
2,hi everyone back with another video so
2,today what we're gonna talk about is an
2,overview of grad school so this applies
2,to a PhD more than a master's but we'll
2,also talk about a master's a little bit
2,so the three components that I would
2,really break grad school into our the
2,classes that you're gonna have to take
2,the preliminary or qualifying exams that
2,you'll have to take and your
2,dissertation plus kind of break down
2,each one of these and kind of give an
2,overview about how each one of these
2,work and how it's different than what
2,you may have experienced before so the
2,first one are classes so everyone's
2,taking classes in high school college
2,but grad school classes are a little
2,different so the way most departments
2,will do grad school classes is that you
2,will have to take X amount of credits
2,that are general that everyone in the
2,department takes so if you're in a
2,molecular biology department these may
2,be things like genetics biochemistry and
2,you need to also take some credits that
2,are more specialized so it's similar to
2,College where if you're a biology major
2,or a chemistry major you may take sort
2,of general science classes and then more
2,specialized as you move up and so this
2,works the same way as you move up you
2,may need to take more Physiology or
2,molecular ontology for example and the
2,way these classes work is that you
2,generally need to have a certain GPA
2,overall so in my department when I was a
2,graduate student you needed to have a
2,3.0 GPA overall some departments are
2,stricter and have a 3/5 but there's
2,usually a grade-point requirement and
2,it's important to meet this requirement
2,but what you're gonna find is that there
2,are some differences between grad school
2,classes and undergrad classes so if you
2,go to a larger University you're
2,probably used to undergrad classes that
2,have 100 or more students in them
2,sometimes smaller but in grad school
2,you're gonna be in classes that are much
2,much smaller you may only have 10 kids
2,in a class and this is important because
2,unlike undergrad where you may have been
2,able to not attend classes and grad
2,school you really need to attend every
2,single class the other big difference is
2,that at least in my experience I felt
2,that the classes an undergrad were
2,actually harder than they were in grad
2,school an undergrad you're more
2,responsible for knowing more of the fine
2,details in a grad school it's more about
2,big picture how does everything fit
2,together and the other difference is
2,that because a PhD is a research-based
2,program a lot of your exams are also
2,going to focus on experimental design as
2,well so for example if you took cell
2,biology in college you probably remember
2,there's a whole section on protein
2,trafficking so protein trafficking to
2,the mitochondria etc and in undergrad
2,they may have asked questions
2,specifically about how does that
2,trafficking work in a grad school
2,they'll probably ask similar questions
2,but they're also going to ask
2,experimental questions if you believe
2,that protein acts is traffic from point
2,A to point B how do you test that
2,experimentally and these are things to
2,keep in mind as you prepare for your
2,class is that these are some of the
2,questions that you may be asked
2,another important thing to note is that
2,unlike undergrad where classes is your
2,only thing that you have to do in grad
2,school people tend to be a little bit
2,more
2,I wouldn't say lenient on classes but
2,it's not the focus nobody when you're
2,applying for a postdoc is gonna ask what
2,was your GPA in in grad school it just
2,isn't gonna happen so your GPA in grad
2,school is gonna be important for making
2,sure that you can pass to move to the
2,next step and also for some other things
2,for example if you apply for an f32
2,which is a fellowship that you could get
2,as an early postdoc come through NIH
2,they may ask for what your grad school
2,grades were but other than that your
2,grades are not as important so my
2,personal advice is that you should work
2,hard in your grad school classes I don't
2,think anyone should blow off their
2,classes and I think that they do serve a
2,purpose and it is important to do well
2,in them but what you're going to find is
2,that most P is are going to really focus
2,on the research aspect so that the
2,classes kind of takes care of the first
2,part now once you've completed your
2,classes and your advisor will tell you
2,that you need to complete X amount of
2,credits and that these things need to be
2,met once you've met all these
2,requirements you're then ready to take
2,what are called your preliminary or
2,qualifying exams and this is something
2,that varies greatly between departments
2,so I'm gonna kind of try to cover the
2,spectrum of how qualifying exams work so
2,qualifying or preliminary exams are a
2,way to test your ability to think and to
2,weed out people that should not really
2,be in grad school now typically each
2,grad department has a different failure
2,rate sometimes it's one kid a year maybe
2,doesn't pass sometimes it's 50% of
2,people don't pass it kind of depends on
2,where you are but your qualifying exams
2,or preliminary exams or sometimes
2,they're called Qualls or prelims I'll
2,typically refer to them as prelims
2,because that's what
2,they were called to my department they
2,kind of fall into two categories a
2,written category and a oral category so
2,let's talk about the written category
2,first so further written this is done
2,differently so sometimes in some
2,departments what it will be is it will
2,be all of the faculty in that department
2,will write questions that are kind of
2,the same to everybody and all of the
2,questions will be answered over a course
2,of a few days so instead of doing
2,research or classes you take three days
2,say and you sit in a room and you take
2,these tests and the professors will
2,grade them and they will give a score
2,back to your main Pio that's one way the
2,way that it was done in my department
2,was that every p.i on your committee and
2,we'll talk about forming a committee in
2,another video but but just real briefly
2,your committee is sort of the gatekeeper
2,that they decide how you pass your
2,prelims and they decide how you pass
2,your dissertation they're very important
2,I'm going to dedicate a whole video to
2,them so the way it typically worked in
2,my department was you it would have five
2,committee members including your PI and
2,each one would write a few questions for
2,your prelim and they were geared towards
2,the research that you were working on
2,and so each day you would go meet with
2,that one member on your committee they'd
2,give you your questions you'd spend a
2,whole day working on their questions and
2,so it was a five day exam and the way it
2,typically works is there's a minimum
2,threshold so in my department and other
2,departments around me it was you needed
2,to score 80% to past if you didn't get
2,an 80% you had to retake that part and
2,if you didn't pass a second time than
2,you were out and now this is where
2,there's big variation between
2,departments
2,so some departments you need an 80% to
2,pass and if you don't pass you have to
2,take the whole thing over again whereas
2,my department it was just that one part
2,also what varies is the amount of I
